# folder	system	default handler	core / app
atari2600	Atari 2600	RetroArch	stella
atari7800	Atari 7800	RetroArch	prosystem
atarilynx	Atari Lynx	RetroArch	handy
nes	Nintendo Entertainment System	RetroArch	mesen
snes	Super Nintendo	RetroArch	snes9x
gb	Game Boy	RetroArch	gambatte
gbc	Game Boy Color	RetroArch	gambatte
gba	Game Boy Advance	RetroArch	mgba
n64	Nintendo 64	RetroArch	mupen64plus_next
nds	Nintendo DS	melonDS	net.kuribo64.melonDS
3ds	Nintendo 3DS	Azahar	org.azahar_emu.Azahar
gc	Nintendo GameCube	Dolphin	dolphin-emu
wii	Nintendo Wii	Dolphin	dolphin-emu
switch	Nintendo Switch	Eden	eden (AppImage)
mastersystem	Sega Master System	RetroArch	genesis_plus_gx
genesis	Sega Genesis / Mega Drive	RetroArch	genesis_plus_gx
segacd	Sega CD	RetroArch	genesis_plus_gx
sega32x	Sega 32X	RetroArch	picodrive
saturn	Sega Saturn	RetroArch	mednafen_saturn
dreamcast	Sega Dreamcast	Flycast	org.flycast.Flycast
pcengine	PC Engine / TurboGrafx-16	RetroArch	mednafen_pce
neogeo	Neo Geo	RetroArch	fbneo
arcade	Arcade	RetroArch	fbneo
psx	PlayStation	DuckStation	org.duckstation.DuckStation
ps2	PlayStation 2	PCSX2	net.pcsx2.PCSX2
ps3	PlayStation 3	RPCS3	net.rpcs3.RPCS3
psp	PlayStation Portable	PPSSPP	org.ppsspp.PPSSPP
